date,value
1960-01-01,1.3399894902785148
1961-01-01,1.1148561057816808
1962-01-01,1.3205128205128203
1963-01-01,1.0186005314437585
1964-01-01,1.4404709713784491
1965-01-01,1.5928875717725388
1966-01-01,2.1938620480097315
1967-01-01,3.0744529019981037
1968-01-01,3.738533433335278
1969-01-01,4.5548078527334335
1970-01-01,5.48936170212766
1971-01-01,5.148245260185558
1972-01-01,4.771495708051576
1973-01-01,4.064445258147198
1974-01-01,7.569493314567199
1975-01-01,10.929386269779595
1976-01-01,6.115001842978263
1977-01-01,5.821667998193747
1978-01-01,6.3876579681601875
1979-01-01,7.691833019653838
1980-01-01,8.872908549163405
1981-01-01,10.220783663587806
1982-01-01,7.150531216425948
1983-01-01,4.585561497326207
1984-01-01,3.623929438834206
1985-01-01,3.525977096568589
1986-01-01,2.3235492711601857
1987-01-01,1.987423336697458
1988-01-01,3.0657684402831675
1989-01-01,4.137816429402319
1990-01-01,3.6347517730496604
1991-01-01,3.751924721984601
1992-01-01,2.5031743152548636
1993-01-01,2.36000064349029
1994-01-01,2.231721883447535
1995-01-01,2.158406100110688
1996-01-01,1.948775055679297
1997-01-01,1.8864303954418737
1998-01-01,1.1140890981528262
1999-01-01,1.2723156718342565
2000-01-01,1.96513963951217
2001-01-01,2.4295486395360166
2002-01-01,1.6323047330064178
2003-01-01,1.9113119277060164
2004-01-01,2.2652070990439643
2005-01-01,3.050145153658268
2006-01-01,3.1993844473677813
2007-01-01,2.9101928904708974
2008-01-01,2.03211180704872
2009-01-01,1.406402107312621
2010-01-01,0.5567916153733199
2011-01-01,1.8981086302169992
2012-01-01,1.9828935476048803
2013-01-01,1.8730072953255794
2014-01-01,1.6232043964438114
2015-01-01,1.0241366350691283
2016-01-01,0.7512736516859686
2017-01-01,1.9426438007713154
2018-01-01,2.0414528624610018
2019-01-01,1.9286327019591987
2020-01-01,1.6077388149939642
2021-01-01,2.504831630758675
2022-01-01,6.935208232715384
2023-01-01,5.320710470317436
